epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91606,2.21355,2.645,2.17987,0.004,0.6,0.13117,0.02937,2.61257,3.16774,2.78346,8e-05,8e-05,8e-05
2,2.79257,2.08629,2.71725,2.08484,0.00533,0.8,0.07164,0.02062,2.5056,3.3251,2.76751,0.000176436,0.000176436,0.000176436
3,3.55406,2.04929,2.79911,2.06039,0.00533,0.8,0.06618,0.01826,2.63528,3.40392,2.81074,0.000268912,0.000268912,0.000268912
4,4.38858,2.08514,2.7934,2.21138,0.00667,1,0.0555,0.02089,2.25855,3.06035,2.30152,0.000357428,0.000357428,0.000357428
5,5.36984,1.44625,2.2967,1.57298,0.00667,1,0.42701,0.17318,1.90462,3.02103,2.22098,0.000441984,0.000441984,0.000441984
6,6.29375,1.23672,2.04134,1.42475,0.00667,1,0.945,0.48182,1.39898,2.59957,1.77504,0.00052258,0.00052258,0.00052258
7,7.13371,1.12975,1.79869,1.43258,0.00667,1,0.97192,0.59249,0.86621,2.51186,1.56966,0.000599216,0.000599216,0.000599216
8,7.95308,0.81764,1.39899,1.18677,0.00667,1,0.97192,0.59249,0.86621,2.51186,1.56966,0.000671892,0.000671892,0.000671892
9,8.8407,0.80715,1.2654,1.12368,0.00667,1,0.81722,0.57594,0.9971,2.58139,1.59042,0.000740608,0.000740608,0.000740608
10,9.72936,0.87145,1.35946,1.19735,0.006,0.9,0.47886,0.38223,1.52915,2.67863,2.02764,0.000805364,0.000805364,0.000805364
11,10.5384,0.86058,1.17383,1.16482,0.006,0.9,0.47886,0.38223,1.52915,2.67863,2.02764,0.00086616,0.00086616,0.00086616
12,11.409,0.81425,1.14163,1.11061,0.006,0.9,0.47033,0.23367,1.99492,2.97926,2.16803,0.000922996,0.000922996,0.000922996
13,12.2255,0.72369,1.13852,1.07734,0.006,0.9,0.47033,0.23367,1.99492,2.97926,2.16803,0.000975872,0.000975872,0.000975872
14,13.0599,0.66747,1.21303,1.12827,0.006,0.9,0.47033,0.23367,1.99492,2.97926,2.16803,0.00102479,0.00102479,0.00102479
15,13.9293,0.64962,1.27842,1.11016,1,0.9894,0.995,0.77065,0.83899,1.78055,1.36705,0.00106974,0.00106974,0.00106974
16,14.7977,0.77952,1.20139,1.10057,1,0.9894,0.995,0.77065,0.83899,1.78055,1.36705,0.00111074,0.00111074,0.00111074
17,15.6928,0.85366,1.31196,1.15353,1,0.9894,0.995,0.77065,0.83899,1.78055,1.36705,0.00114778,0.00114778,0.00114778
18,16.5927,0.81872,1.09749,1.07159,0.99381,1,0.995,0.86356,0.64542,0.91862,1.15373,0.00118085,0.00118085,0.00118085
19,17.5478,0.65591,0.94862,1.04903,0.99381,1,0.995,0.86356,0.64542,0.91862,1.15373,0.00120997,0.00120997,0.00120997
20,18.3828,0.6687,0.94896,1.04363,0.99381,1,0.995,0.86356,0.64542,0.91862,1.15373,0.00123512,0.00123512,0.00123512
